npi,ccn,first_observed_date,last_observed_date,facility_type
1003000514,525648,2022-11-30,2024-04-01,snf
1003027921,375373,2022-11-30,2024-04-01,snf
1003051855,675417,2022-11-30,2024-04-01,snf
1003061821,676239,2022-11-30,2023-03-31,snf
1003091521,325045,2022-11-30,2024-04-01,snf
1003098906,555585,2022-11-30,2024-02-01,snf
1003100546,165428,2022-11-30,2024-04-01,snf
1003110263,045427,2022-11-30,2024-04-01,snf
1003113705,056300,2022-11-30,2024-04-01,snf
1003149212,205149,2022-11-30,2024-04-01,snf
1003150954,295006,2022-11-30,2024-04-01,snf
1003190356,265389,2022-11-30,2022-12-30,snf
1003192634,195584,2022-11-30,2024-04-01,snf
1003198342,555739,2022-11-30,2024-04-01,snf
1003201641,555226,2022-11-30,2023-05-01,snf
1003204322,375279,2022-11-30,2023-05-01,snf
1003205337,345569,2022-11-30,2024-04-01,snf
1003205667,225361,2022-11-30,2024-04-01,snf
1003208414,335028,2022-11-30,2024-04-01,snf
1003210774,045289,2022-11-30,2024-04-01,snf
1003215492,675469,2022-11-30,2024-04-01,snf
1003223132,366003,2022-11-30,2024-04-01,snf
1003224825,265851,2022-11-30,2024-04-01,snf
1003230590,055540,2022-11-30,2024-04-01,snf
1003238049,155821,2022-11-30,2024-04-01,snf
1003238130,315390,2022-11-30,2023-10-02,snf
1003239179,205076,2022-11-30,2024-04-01,snf
1003246919,675032,2022-11-30,2024-04-01,snf
1003272626,335618,2022-11-30,2024-04-01,snf
1003276437,676251,2022-11-30,2024-04-01,snf
1003279928,676252,2022-11-30,2024-04-01,snf
1003289646,455416,2022-11-30,2024-04-01,snf
1003295130,185479,2022-11-30,2024-04-01,snf
1003295411,335267,2022-11-30,2024-04-01,snf
1003302027,106121,2022-11-30,2024-04-01,snf
1003303249,105851,2022-11-30,2024-04-01,snf
1003306200,395764,2022-11-30,2024-04-01,snf
1003308677,145358,2022-11-30,2024-04-01,snf
1003309055,255229,2022-11-30,2024-04-01,snf
1003315672,105890,2022-11-30,2023-03-10,snf
1003339888,675106,2022-11-30,2024-03-01,snf
1003341355,365564,2022-11-30,2024-04-01,snf
1003358979,525334,2022-11-30,2024-04-01,snf
1003359878,175267,2022-11-30,2024-04-01,snf
1003361189,265393,2022-11-30,2024-04-01,snf
1003371097,676418,2022-11-30,2024-04-01,snf
1003380890,345484,2022-11-30,2024-04-01,snf
1003382987,106128,2022-11-30,2024-04-01,snf
1003384587,675802,2022-11-30,2023-05-01,snf
1003386780,215330,2022-11-30,2024-04-01,snf
1003408212,505280,2022-11-30,2024-01-05,snf
1003415415,175385,2022-11-30,2024-04-01,snf
1003422296,145807,2022-11-30,2024-04-01,snf
1003431321,525513,2024-01-05,2024-04-01,snf
1003438789,045470,2022-11-30,2023-06-01,snf
1003451915,555827,2022-11-30,2024-04-01,snf
1003460502,215197,2022-11-30,2024-04-01,snf
1003466806,146030,2022-11-30,2024-04-01,snf
1003471541,325071,2022-11-30,2024-04-01,snf
1003476334,365202,2022-11-30,2024-04-01,snf
1003485228,106149,2022-11-30,2024-04-01,snf
1003489998,375310,2022-11-30,2024-04-01,snf
1003490277,495420,2022-11-30,2024-04-01,snf
1003494733,395041,2022-11-30,2024-04-01,snf
1003497355,495255,2022-11-30,2024-04-01,snf
1003504952,015447,2024-01-05,2024-04-01,snf
1003513177,235411,2023-09-01,2024-04-01,snf
1003520180,145246,2023-11-01,2024-04-01,snf
1003523770,395525,2023-09-01,2024-04-01,snf
1003527748,675823,2023-11-01,2024-04-01,snf
1003539677,675321,2023-08-01,2024-04-01,snf
1003540329,055845,2023-11-01,2024-04-01,snf
1003541475,105381,2023-09-01,2024-04-01,snf
1003543125,105554,2023-09-01,2024-04-01,snf
1003550807,115012,2022-11-30,2024-04-01,snf
